open,high,low,close,barSize,date
123.48,123.4975,123.4525,123.4875,MIN_15,2015-06-15 07:45:00
123.4875,123.5075,123.4175,123.4775,MIN_15,2015-06-15 08:00:00
123.4775,123.5375,123.4625,123.4675,MIN_15,2015-06-15 08:15:00
123.4675,123.4775,123.4325,123.445,MIN_15,2015-06-15 08:30:00
123.445,123.4675,123.3775,123.3925,MIN_15,2015-06-15 08:45:00
123.3925,123.435,123.3875,123.4075,MIN_15,2015-06-15 09:00:00
123.4075,123.5275,123.3875,123.5125,MIN_15,2015-06-15 09:15:00
123.5125,123.515,123.465,123.465,MIN_15,2015-06-15 09:30:00
123.465,123.4725,123.42,123.4425,MIN_15,2015-06-15 09:45:00
123.4425,123.4725,123.42,123.4625,MIN_15,2015-06-15 10:00:00
123.4625,123.4975,123.4425,123.4975,MIN_15,2015-06-15 10:15:00
123.4975,123.5075,123.4325,123.4475,MIN_15,2015-06-15 10:30:00
123.4475,123.535,123.4325,123.48,MIN_15,2015-06-15 10:45:00
123.48,123.485,123.3925,123.4325,MIN_15,2015-06-15 11:00:00
123.4325,123.4425,123.4025,123.4225,MIN_15,2015-06-15 11:15:00
123.4225,123.4225,123.3775,123.405,MIN_15,2015-06-15 11:30:00
123.405,123.4175,123.3675,123.3925,MIN_15,2015-06-15 11:45:00
123.3925,123.3925,123.345,123.3875,MIN_15,2015-06-15 12:00:00
123.3875,123.39,123.35,123.3725,MIN_15,2015-06-15 12:15:00
123.3725,123.3925,123.355,123.3875,MIN_15,2015-06-15 12:30:00
123.3875,123.3975,123.365,123.39,MIN_15,2015-06-15 12:45:00
123.39,123.395,123.3725,123.38,MIN_15,2015-06-15 13:00:00
123.38,123.3975,123.3775,123.3925,MIN_15,2015-06-15 13:15:00
123.3925,123.3975,123.3775,123.3825,MIN_15,2015-06-15 13:30:00
123.3825,123.4175,123.3775,123.415,MIN_15,2015-06-15 13:45:00
123.4475,123.4525,123.4225,123.4275,MIN_15,2015-06-15 14:15:00
123.4275,123.4375,123.4025,123.4175,MIN_15,2015-06-15 14:30:00
123.4175,123.43,123.4,123.41,MIN_15,2015-06-15 14:45:00
123.41,123.4325,123.4025,123.405,MIN_15,2015-06-15 15:00:00
123.405,123.4225,123.4,123.415,MIN_15,2015-06-15 15:15:00
123.415,123.4225,123.4,123.405,MIN_15,2015-06-15 15:30:00
123.405,123.4325,123.4,123.4175,MIN_15,2015-06-15 15:45:00
123.4175,123.4275,123.3975,123.42,MIN_15,2015-06-15 16:00:00
123.42,123.4375,123.405,123.415,MIN_15,2015-06-15 16:15:00
123.415,123.425,123.3975,123.4175,MIN_15,2015-06-15 16:30:00
123.4175,123.4375,123.4175,123.4225,MIN_15,2015-06-15 16:45:00
123.4225,123.4825,123.415,123.455,MIN_15,2015-06-15 17:00:00
123.455,123.485,123.4425,123.465,MIN_15,2015-06-15 17:15:00
123.465,123.4725,123.4225,123.4225,MIN_15,2015-06-15 17:30:00
123.4225,123.4925,123.4075,123.4225,MIN_15,2015-06-15 17:45:00
123.4225,123.44,123.3625,123.405,MIN_15,2015-06-15 18:00:00
123.405,123.4075,123.3475,123.385,MIN_15,2015-06-15 18:15:00
123.385,123.8075,123.3125,123.7175,MIN_15,2015-06-15 18:30:00
123.7175,123.745,123.5175,123.545,MIN_15,2015-06-15 18:45:00
123.545,123.6325,123.5275,123.6175,MIN_15,2015-06-15 19:00:00
123.6175,123.6475,123.5925,123.615,MIN_15,2015-06-15 19:15:00
